Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,2010,2010,hg/ha,199299,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,2011,2011,hg/ha,227240,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,2012,2012,hg/ha,217530,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,2013,2013,hg/ha,227606,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,2014,2014,hg/ha,229224,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,2015,2015,hg/ha,231257,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,2016,2016,hg/ha,205087,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,2017,2017,hg/ha,223061,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,2018,2018,hg/ha,239542,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,2019,2019,hg/ha,230971,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,2020,2020,hg/ha,237720,E,Estimated value
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1961,1961,tonnes,2719000,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1962,1962,tonnes,2447000,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1963,1963,tonnes,3365000,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1964,1964,tonnes,2593000,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1965,1965,tonnes,3605000,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1966,1966,tonnes,4076000,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1967,1967,tonnes,3521500,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1968,1968,tonnes,4232300,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1969,1969,tonnes,4725500,A,Official figure
QCL,Crops and livestock products,356,India,5510,Production,1510,Potatoes,1970,1970,tonnes,3912600,A,Official figure
